data.un.org entry,Issue,ISO3166 name or code,,,
Ã…land Islands,spelling,Åland Islands,,,
"Afghanistan, Islamic State of",spelling,Afghanistan,,,
"Bahamas, The",spelling,Bahamas,,,
Bolivia,spelling,"Bolivia, Plurinational State of",,,
Bosnia Herzegovina,spelling,Bosnia and Herzegovina,,,
British Indian Ocean Ter,spelling,British Indian Ocean Territory,,,
Brunei,spelling,Brunei Darussalam,,,
C\xc3\xb4te d\xe2\x80\x99Ivoire,spelling,Côte d'Ivoire,,,
C\xc3\xb4te d'Ivoire,spelling,Côte d'Ivoire,,,
C\xf4te d'Ivoire,spelling,Côte d'Ivoire,,,
Cote d'Ivoire,spelling,Côte d'Ivoire,,,
Ivory Coast,spelling,Côte d'Ivoire,,,
Central African Republic,spelling,Central African Republic,,,
"China, People's Republic of",spelling,China,,,
"Christmas Island, Aust",spelling,Christmas Island,#true?,,
"Cocos, Keeling Islands",spelling,Cocos (Keeling) Islands,,,
"Congo, Republic",spelling,Congo,,,
Congo Democratic Republic,spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic",spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic of the",spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic of",spelling,"Congo, The Democratic Republic of the",,,
Democratic Republic of Congo,spelling,"Congo, The Democratic Republic of the",,,
Democratic Republic of the Congo,spelling,"Congo, The Democratic Republic of the",,,
Cook Islands,spelling,Cook Islands,,,
Czech Republic,spelling,Czech Republic,,,
Czechoslovakia (former),spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Czechoslovakia,spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
"Czechoslovakia, former",spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Former Czechoslovakia,spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Dominican Republic,spelling,Dominican Republic,,,
"Egypt, Arab Republic",spelling,Egypt,,,
Ethiopia PDR,spelling,Ethiopia,,,
"Ethiopia, from 1993",spelling,Ethiopia,,,
"Ethiopia, up to 1993",spelling,Ethiopia,true?,,
Former Ethiopia,spelling,Ethiopia,true?,,
"Falkland Island, Malvinas",spelling,Falkland Islands (Malvinas),,,
Falkland Islands,spelling,Falkland Islands (Malvinas),,,
"Falkland Islands, Malvinas",spelling,Falkland Islands (Malvinas),,,
Faeroe Islands,spelling,Faroe Islands,,,
French Southern Terr,spelling,French Southern Territories,,,
Gambia The,spelling,Gambia,,,
"Gambia, The",spelling,Gambia,,,
German Democratic Republic (former),spelling,German Democratic Republic,,,
"German Democratic Republic, former",spelling,German Democratic Republic,,,
"Germany, The former German Democratic Republic",spelling,German Democratic Republic,,,
